slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-nova,,!offer:api3,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/api3)""]",nova,,,,,,,,,,,,
api3-one,,!offer:api3,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/api3)""]",one,,,,,,,,,,,,
api3-sepolia,,!offer:api3,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/api3)""]",sepolia,,,,,,,,,,,,
chainlink-nova,,!offer:chainlink,"[""[ARB/USD](https://data.chain.link/feeds/arbitrum/mainnet/arb-usd)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chainlink)""]",nova,,,,,,,,,,,,
chainlink-one,,!offer:chainlink,"[""[ARB/USD](https://data.chain.link/feeds/arbitrum/mainnet/arb-usd)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chainlink)""]",one,,,,,,,,,,,,
chainlink-sepolia,,!offer:chainlink,"[""[ARB/USD](https://data.chain.link/feeds/arbitrum/mainnet/arb-usd)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chainlink)""]",sepolia,,,,,,,,,,,,
chronicle-nova,,!offer:chronicle,"[""[ARB/USD](https://chroniclelabs.org/dashboard/oracle/ARB/USD#blockchain=ARB1&contract=0x91Fa05bCab98aD3DdEaE33DF7213EE8642e3c66c&txn=0x5cc5ccaf619c222b880a6bb09258d47ddbef6ab4b0ae95dc4f27c99a8baa7e52)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chronicle)""]",nova,,,,,,,,,,,,
chronicle-one,,!offer:chronicle,"[""[ARB/USD](https://chroniclelabs.org/dashboard/oracle/ARB/USD#blockchain=ARB1&contract=0x91Fa05bCab98aD3DdEaE33DF7213EE8642e3c66c&txn=0x5cc5ccaf619c222b880a6bb09258d47ddbef6ab4b0ae95dc4f27c99a8baa7e52)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chronicle)""]",one,,,,,,,,,,,,
chronicle-sepolia,,!offer:chronicle,"[""[ARB/USD](https://chroniclelabs.org/dashboard/oracle/ARB/USD#blockchain=ARB1&contract=0x91Fa05bCab98aD3DdEaE33DF7213EE8642e3c66c&txn=0x5cc5ccaf619c222b880a6bb09258d47ddbef6ab4b0ae95dc4f27c99a8baa7e52)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chronicle)""]",sepolia,,,,,,,,,,,,
dia-one,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/guides/chain-specific-guide/arbitrum)""]",one,,,,,,,,,,,,
dia-sepolia,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/guides/chain-specific-guide/arbitrum)""]",sepolia,,,,,,,,,,,,
ora-nova,,!offer:ora,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/ora)""]",nova,,,,,,,,,,,,
ora-one,,!offer:ora,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/ora)""]",one,,,,,,,,,,,,
ora-sepolia,,!offer:ora,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/ora)""]",sepolia,,,,,,,,,,,,
pyth-nova,,!offer:pyth,"[""[ARB/USD](https://insights.pyth.network/price-feeds/Crypto.ARB%2FUSD)"", ""[Docs](https://docs.pyth.network/)""]",nova,,,,,,,,,,,,
pyth-one,,!offer:pyth,"[""[ARB/USD](https://insights.pyth.network/price-feeds/Crypto.ARB%2FUSD)"", ""[Docs](https://docs.pyth.network/)""]",one,,,,,,,,,,,,
pyth-sepolia,,!offer:pyth,"[""[ARB/USD](https://insights.pyth.network/price-feeds/Crypto.ARB%2FUSD)"", ""[Docs](https://docs.pyth.network/)""]",sepolia,,,,,,,,,,,,
scry-protocol-one,,!offer:scry-protocol,,one,,,,,,,,,,,,
seda-one,,!offer:seda,,one,,,,,,,,,,,,
stork-one,,!offer:stork,,one,,,,,,,,,,,,
stork-sepolia,,!offer:stork,,sepolia,,,,,,,,,,,,
supra-one,,!offer:supra,"[""[Docs](https://docs.supra.com/oracles/data-feeds/pull-oracle/networks)""]",one,,,,,,,,,,,,
supra-sepolia,,!offer:supra,"[""[Docs](https://docs.supra.com/oracles/data-feeds/pull-oracle/networks)""]",sepolia,,,,,,,,,,,,
switchboard-one,,!offer:switchboard,"[""[Docs](https://docs.switchboard.xyz/docs-by-chain/evm)""]",one,,,,,,,,,,,,
tellor-one,,!offer:tellor,"[""[Docs](http://docs.arbitrum.io/for-devs/oracles/trellor)""]",one,,,,,,,,,,,,
uma-one,,!offer:uma,"[""[Docs](https://docs.uma.xyz/resources/network-addresses)""]",one,,,,,,,,,,,,
witnet-one,,!offer:witnet,"[""[Docs](https://docs.witnet.io/smart-contracts/supported-chains)""]",one,,,,,,,,,,,,
witnet-sepolia,,!offer:witnet,"[""[Docs](https://docs.witnet.io/smart-contracts/supported-chains)""]",sepolia,,,,,,,,,,,,
