slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
1money,,!offer:1money,,,,,,,,
alchemy-pay,,!offer:alchemy-pay,,,,,,,,
alixpay,,!offer:alixpay,,,,,,,,
alltrust-me,,!offer:alltrust-me,,,,,,,,
assetux,,!offer:assetux,,,,,,,,
banxa,,!offer:banxa,,,,,,,,
belo,,!offer:belo,,,,,,,,
bleap,,!offer:bleap,,,,,,,,
breet,,!offer:breet,,,,,,,,
bridge,,!offer:bridge,,,,,,,,
btcdirect,,!offer:btcdirect,,,,,,,,
bvnk,,!offer:bvnk,,,,,,,,
coinbase-onramp,,!offer:coinbase-onramp,,,,,,,,
coinflow,,!offer:coinflow,,,,,,,,
cybrid,,!offer:cybrid,,,,,,,,
finchpay,,!offer:finchpay,,,,,,,,
fonbnk,,!offer:fonbnk,,,,,,,,
guardarian,,!offer:guardarian,,,,,,,,
halliday,,!offer:halliday,,,,,,,,
itez,,!offer:itez,,,,,,,,
kotanipay,,!offer:kotanipay,,,,,,,,
madhouse-wallet,,!offer:madhouse-wallet,,,,,,,,
meld,,!offer:meld,,,,,,,,
mercuryo,,!offer:mercuryo,,,,,,,,
meso,,!offer:meso,,,,,,,,
minisend,,!offer:minisend,,,,,,,,
monerium,,!offer:monerium,,,,,,,,
monica,,!offer:monica,,,,,,,,
moonpay,,!offer:moonpay,,,,,,,,
mt-pelerin,,!offer:mt-pelerin,,,,,,,,
onmeta,,!offer:onmeta,,,,,,,,
onramp-money,,!offer:onramp-money,,,,,,,,
onramper,,!offer:onramper,,,,,,,,
openpeer,,!offer:openpeer,,,,,,,,
paybis,,!offer:paybis,,,,,,,,
paycrest,,!offer:paycrest,,,,,,,,
ramp-network,,!offer:ramp-network,,,,,,,,
rampnow,,!offer:rampnow,,,,,,,,
ravasend,,!offer:ravasend,,,,,,,,
revolut,,!offer:revolut,,,,,,,,
sardine,,!offer:sardine,,,,,,,,
simplex,,!offer:simplex,,,,,,,,
straits-x,,!offer:straits-x,,,,,,,,
stripe-crypto,,!offer:stripe-crypto,,,,,,,,
swapin,,!offer:swapin,,,,,,,,
swapped,,!offer:swapped,,,,,,,,
swipelux,,!offer:swipelux,,,,,,,,
switchere,,!offer:switchere,,,,,,,,
topper,,!offer:topper,,,,,,,,
trans-fi,,!offer:trans-fi,,,,,,,,
transak,,!offer:transak,,,,,,,,
unigox,,!offer:unigox,,,,,,,,
uniramp,,!offer:uniramp,,,,,,,,
unlimit-crypto,,!offer:unlimit-crypto,,,,,,,,
utorg,,!offer:utorg,,,,,,,,
wert,,!offer:wert,,,,,,,,
zerohash,,!offer:zerohash,,,,,,,,
