slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
alphawallet,,!offer:alphawallet,,,,,,,,,,,,,,,,,,,
ambire-wallet,,!offer:ambire-wallet,,,,,,,,,,,,,,,,,,,
ascoin-wallet,,!offer:ascoin-wallet,,,,,,,,,,,,,,,,,,,
atomic-wallet,,!offer:atomic-wallet,,,,,,,,,,,,,,,,,,,
backpack,,!offer:backpack,,,,,,,,,,,,,,,,,,,
base-wallet,,!offer:base-wallet,,,,,,,,,,,,,,,,,,,
bifrost,,!offer:bifrost,,,,,,,,,,,,,,,,,,,
binance-wallet,,!offer:binance-wallet,,,,,,,,,,,,,,,,,,,
bitcoin-com-wallet,,!offer:bitcoin-com-wallet,,,,,,,,,,,,,,,,,,,
brave-wallet,,!offer:brave-wallet,,,,,,,,,,,,,,,,,,,
clave-wallet,,!offer:clave-wallet,,,,,,,,,,,,,,,,,,,
clear-evm-wallet,,!offer:clear-evm-wallet,,,,,,,,,,,,,,,,,,,
coin-wallet,,!offer:coin-wallet,,,,,,,,,,,,,,,,,,,
coinomi-wallet,,!offer:coinomi-wallet,,,,,,,,,,,,,,,,,,,
coolwallet,,!offer:coolwallet,,,,,,,,,,,,,,,,,,,
crypto-com-defi-wallet,,!offer:crypto-com,,,,,,,,,,,,,,,,,,,
ctrl-wallet,,!offer:ctrl-wallet,,,,,,,,,,,,,,,,,,,
cwallet,,!offer:cwallet,,,,,,,,,,,,,,,,,,,
cypherock-x1,,!offer:cypherock-x1,,,,,,,,,,,,,,,,,,,
dapp-pocket,,!offer:dapp-pocket,,,,,,,,,,,,,,,,,,,
dcent,,!offer:dcent,,,,,,,,,,,,,,,,,,,
ecoin-wallet,,!offer:ecoin-wallet,,,,,,,,,,,,,,,,,,,
ellipal,,!offer:ellipal,,,,,,,,,,,,,,,,,,,
enkrypt,,!offer:enkrypt,,,,,,,,,,,,,,,,,,,
fluvi-wallet,,!offer:fluvi-wallet,,,,,,,,,,,,,,,,,,,
foxwallet,,!offer:foxwallet,,,,,,,,,,,,,,,,,,,
frontier,,!offer:frontier,,,,,,,,,,,,,,,,,,,
gem-wallet,,!offer:gem-wallet,,,,,,,,,,,,,,,,,,,
haha-wallet,,!offer:haha-wallet,,,,,,,,,,,,,,,,,,,
holdstation,,!offer:holdstation,,,,,,,,,,,,,,,,,,,
imtoken,,!offer:imtoken,,,,,,,,,,,,,,,,,,,
iron-wallet,,!offer:iron-wallet,,,,,,,,,,,,,,,,,,,
keystone-3-pro,,!offer:keystone-3-pro,,,,,,,,,,,,,,,,,,,
kryptogo-wallet,,!offer:kryptogo-wallet,,,,,,,,,,,,,,,,,,,
kuma-wallet,,!offer:kuma-wallet,,,,,,,,,,,,,,,,,,,
ledger,,!offer:ledger,,,,,,,,,,,,,,,,,,,
math-wallet,,!offer:math-wallet,,,,,,,,,,,,,,,,,,,
metamask,,!offer:metamask,,,,,,,,,,,,,,,,,,,
mew,,!offer:mew,,,,,,,,,,,,,,,,,,,
nufi-wallet,,!offer:nufi-wallet,,,,,,,,,,,,,,,,,,,
okx,,!offer:okxwallet,,,,,,,,,,,,,,,,,,,
ownbit,,!offer:ownbit,,,,,,,,,,,,,,,,,,,
oxenflow,,!offer:oxenflow,,,,,,,,,,,,,,,,,,,
phantom,,!offer:phantom,,,,,,,,,,,,,,,,,,,
pillar,,!offer:pillar,,,,,,,,,,,,,,,,,,,
rabby,,!offer:rabby,,,,,,,,,,,,,,,,,,,
rainbow,,!offer:rainbow,,,,,,,,,,,,,,,,,,,
ronin-wallet,,!offer:ronin-wallet,,,,,,,,,,,,,,,,,,,
saakuru-wallet,,!offer:saakuru-wallet,,,,,,,,,,,,,,,,,,,
safe-gnosis,,!offer:safe-gnosis,,,,,,,,,,,,,,,,,,,
safepal,,!offer:safepal,,,,,,,,,,,,,,,,,,,
sender,,!offer:sender,,,,,,,,,,,,,,,,,,,
sequence,,!offer:sequence,,,,,,,,,,,,,,,,,,,
sorted-wallet,,!offer:sorted-wallet,,,,,,,,,,,,,,,,,,,
stackup,,!offer:stackup,,,,,,,,,,,,,,,,,,,
tokenpocket,,!offer:tokenpocket,,,,,,,,,,,,,,,,,,,
top-nod,,!offer:top-nod,,,,,,,,,,,,,,,,,,,
trustwallet,,!offer:trustwallet,,,,,,,,,,,,,,,,,,,
unstoppable,,!offer:unstoppable,,,,,,,,,,,,,,,,,,,
walletverse,,!offer:walletverse,,,,,,,,,,,,,,,,,,,
wigwam,,!offer:wigwam,,,,,,,,,,,,,,,,,,,
zengo,,!offer:zengo,,,,,,,,,,,,,,,,,,,
zengo-pro,,!offer:zengo-pro,,,,,,,,,,,,,,,,,,,
zerion,,!offer:zerion,,,,,,,,,,,,,,,,,,,
