slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,"[""[Website](https://market.api3.org/somnia)""]",mainnet,,,,,,,,,,,,
api3-testnet,,!offer:api3,"[""[Website](https://market.api3.org/somnia-testnet)""]",testnet,,,,,,,,,,,,
chainlink-mainnet,,!offer:chainlink,"[""[Docs](https://docs.somnia.network/developer/building-dapps/oracles/protofire-price-feeds)""]",mainnet,,,,,,,,,,,,
chainlink-testnet,,!offer:chainlink,"[""[Docs](https://docs.somnia.network/developer/building-dapps/oracles/using-verifiable-randomness-vrf)""]",testnet,,,,,,,,,,,,
dia-mainnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/nexus/how-to-guides/fetch-price-data/chain-specific-guide/somnia#somnia)""]",mainnet,,,,,,,,,,,,
dia-testnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/nexus/how-to-guides/fetch-price-data/chain-specific-guide/somnia#somnia)""]",testnet,,,,,,,,,,,,
protofire-mainnet,,!offer:protofire,"[""[Website](https://protofire.io/services/oracle-integration/)"",""[Docs](https://docs.somnia.network/developer/building-dapps/oracles/protofire-price-feeds)""]",mainnet,,,,,"[""AggregatorV3Interface compatibility"",""Read-only proxy contracts"",""VRF""]","[""BTC/USD"",""ETH/USD"",""USDC/USD"",""Randomness""]",,,,,,
protofire-testnet,,!offer:protofire,"[""[Website](https://protofire.io/services/oracle-integration/)"",""[Docs](https://docs.somnia.network/developer/building-dapps/oracles/protofire-price-feeds)""]",testnet,,,,,,"[""BTC/USD"",""ETH/USD"",""USDC/USD"",""Randomness""]",,,,,,
scry-protocol-mainnet,,!offer:scry-protocol,,mainnet,,,,,,,,,,,,
stork-testnet,,!offer:stork,,testnet,,,,,,,,,,,,
